timestamp,head_direction,blink_flag
26.512,0,0
26.591,0,0
26.64,0,0
26.692,0,0
26.741,0,0
26.788,0,1
26.834,0,0
26.876,0,0
26.934,0,0
26.985,0,0
27.027,0,0
27.085,0,1
27.119,0,0
27.168,0,0
27.22,0,0
27.267,0,0
27.307,0,0
27.356,0,1
27.426,0,0
27.485,0,0
27.526,0,0
27.575,0,0
27.626,0,0
27.676,0,1
27.718,0,0
27.768,0,0
27.826,0,0
27.875,0,0
27.953,0,0
28.01,0,1
28.066,0,0
28.122,0,0
28.178,0,0
28.235,0,0
28.292,0,0
28.342,0,1
28.397,0,0
28.434,0,0
28.47,0,0
28.505,0,0
28.549,0,0
28.586,0,1
28.621,0,0
28.661,0,0
28.713,0,0
28.746,0,0
28.811,0,0
28.865,0,1
28.904,0,0
28.968,0,0
29.069,0,0
29.085,99,0
29.12,99,0
29.136,99,0
29.184,99,0
29.2,99,0
29.262,99,0
29.276,99,0
29.328,99,0
29.341,99,0
29.391,99,0
29.405,99,0
29.505,0,0
29.554,0,0
29.603,0,1
29.658,0,0
29.707,0,0
29.753,0,0
29.805,0,0
29.845,0,0
29.901,0,1
29.942,0,0
29.994,0,0
30.044,0,0
30.1,0,0
30.139,0,0
30.191,0,1
30.234,0,0
30.276,0,0
30.322,0,0
30.335,99,0
30.392,99,0
30.405,99,0
30.491,0,0
30.558,0,0
30.617,0,1
30.668,0,0
30.725,0,0
30.777,0,0
30.828,0,0
30.878,0,0
30.918,0,1
30.973,0,0
31.022,0,0
31.071,0,0
31.116,0,0
31.155,0,0
31.179,99,0
31.193,99,0
31.207,99,0
31.219,99,0
31.272,99,0
31.294,99,0
31.326,99,0
31.354,99,0
31.391,99,0
31.421,99,0
31.452,99,0
31.472,99,0
31.487,99,0
31.541,99,0
31.635,0,1
31.644,99,0
31.71,0,0
31.755,0,0
31.773,99,0
31.791,99,0
31.804,99,0
31.832,99,0
31.893,0,0
31.934,0,0
31.969,0,0
32.01,99,0
32.048,0,1
32.08,0,0
32.122,0,0
32.181,0,0
32.23,0,0
32.265,0,0
32.295,0,0
32.344,0,0
32.377,0,0
32.427,0,0
32.477,0,0
32.514,0,0
32.561,0,0
32.606,0,0
32.644,0,0
32.704,0,0
32.75,0,0
32.796,0,0
32.841,0,0
32.891,0,0
32.934,0,0
32.983,0,0
33.044,0,0
33.088,0,0
33.133,0,0
33.185,0,0
33.243,0,0
33.289,0,0
33.357,0,0
33.414,0,0
33.451,0,0
33.507,0,0
33.56,0,0
33.626,0,0
33.685,0,0
33.719,0,0
33.761,0,0
33.841,0,0
33.883,0,0
33.919,0,0
33.955,0,0
33.998,0,0
34.034,0,0
34.089,0,0
34.145,0,0
34.187,0,0
34.243,0,0
34.293,0,0
34.336,0,0
34.369,0,0
34.409,0,0
34.477,0,0
34.527,0,0
34.58,0,0
34.691,0,0
34.73,0,0
34.781,0,0
34.845,0,0
34.882,0,0
34.942,0,0
34.984,0,0
35.034,0,0
35.077,0,0
35.135,0,0
35.185,0,0
35.231,0,0
35.277,0,0
35.341,0,1
35.391,0,0
35.443,0,0
35.494,0,0
35.547,0,0
35.58,0,0
35.627,0,0
35.67,0,0
35.71,0,0
35.76,0,0
35.795,0,0
35.84,0,0
35.885,0,0
35.926,0,0
35.967,0,0
36.017,0,0
36.072,0,1
36.16,0,0
36.219,0,0
36.272,0,0
36.326,0,0
36.382,0,0
