timestamp,head_direction,blink_flag,predicted_label
33.528,99,0,0
33.543,99,0,0
33.559,99,0,0
33.777,99,0,0
33.793,99,0,0
33.811,99,0,0
33.851,99,0,0
33.87,99,0,0
34.104,99,0,0
34.12,99,0,0
34.188,99,0,0
34.207,99,0,0
34.264,99,0,0
34.472,99,0,0
34.517,-1,0,0
34.554,-1,0,0
34.616,-1,0,0
34.673,-1,0,0
34.892,-1,0,0
34.938,-1,0,0
34.989,-1,0,0
35.03,-1,0,0
35.071,-1,0,0
35.284,-1,0,0
35.327,-1,0,0
35.368,-1,0,0
35.415,-1,1,0
35.457,-1,0,0
35.673,-1,0,0
35.72,-1,0,0
37.085,0,0,0
37.121,0,0,0
37.151,0,0,0
37.351,0,0,0
37.39,0,0,0
37.425,0,0,0
37.475,0,0,0
37.511,0,0,0
37.702,0,0,0
37.739,0,0,0
37.78,0,0,0
37.818,0,0,0
37.877,0,0,0
38.087,0,0,0
38.13,0,0,0
38.17,0,0,0
38.213,0,0,0
38.257,0,0,0
38.486,0,0,0
38.535,0,1,0
38.584,0,0,0
38.62,0,0,0
38.689,0,0,0
38.926,0,0,0
38.962,0,0,0
39.018,0,0,0
39.063,0,0,0
39.109,0,0,0
39.329,0,0,0
39.378,0,0,0
39.423,0,0,0
39.468,0,0,0
39.512,0,0,0
39.733,0,0,0
39.78,0,0,0
39.827,0,0,0
39.872,0,0,0
39.918,0,0,0
40.141,0,0,0
40.193,0,1,0
40.21,99,0,0
40.233,99,0,0
40.278,99,0,0
40.497,99,0,0
40.52,99,0,0
40.543,99,0,0
40.57,99,0,0
40.59,99,0,0
40.823,99,0,0
42.265,0,0,0
42.284,0,0,0
42.311,0,0,0
42.339,0,0,0
42.519,0,0,0
42.557,0,0,0
42.627,0,0,0
42.663,0,0,0
42.702,0,0,0
42.919,0,0,0
42.969,0,0,0
43.018,0,0,0
43.063,0,0,0
43.109,0,0,0
43.348,0,0,0
43.387,0,0,0
43.436,0,0,0
43.505,0,0,0
43.527,99,0,0
43.758,99,0,0
43.779,99,0,0
43.813,99,0,0
43.838,99,0,0
43.877,99,0,0
44.134,99,0,0
44.154,99,0,0
44.175,99,0,0
44.217,99,0,0
44.246,99,0,0
44.52,99,0,0
44.578,0,0,0
44.635,0,0,0
44.691,0,0,0
44.733,0,0,0
45.028,0,0,0
45.045,99,0,0
45.089,99,0,0
45.153,99,0,0
45.168,99,0,0
45.427,99,0,0
45.482,0,1,0
45.534,0,0,0
45.554,99,0,0
45.58,99,0,0
45.827,99,0,0
47.331,99,0,0
47.346,99,0,0
47.361,99,0,0
47.374,99,0,0
47.594,99,0,0
47.612,99,0,0
47.626,99,0,0
47.642,99,0,0
47.694,99,0,0
47.907,99,0,0
47.925,99,0,0
47.943,99,0,0
47.96,99,0,0
47.975,99,0,0
48.206,99,0,0
48.226,99,0,0
48.247,99,0,0
48.262,99,0,0
48.291,99,0,0
48.526,99,0,0
48.54,99,0,0
48.56,99,0,0
48.58,99,0,0
48.594,99,0,0
48.839,99,0,0
48.857,99,0,0
48.874,99,0,0
48.898,99,0,0
48.914,99,0,0
49.19,99,0,0
49.209,99,0,0
49.233,99,0,0
49.251,99,0,0
49.296,99,0,0
49.524,99,0,0
49.542,99,0,0
49.59,0,0,0
49.655,0,0,0
49.696,0,0,0
49.952,0,0,0
49.99,0,0,0
50.032,0,0,0
50.077,0,0,0
50.123,0,0,0
50.381,0,0,0
50.436,0,0,0
50.48,0,0,0
50.529,0,0,0
50.573,0,0,0
50.818,0,0,0
50.864,0,0,0
52.29,0,1,0
52.314,0,0,0
52.373,0,0,0
52.603,0,0,0
52.641,0,0,0
52.674,0,0,0
52.727,0,1,0
52.768,0,0,0
53.004,0,0,0
53.049,0,0,0
53.087,0,0,0
53.135,0,0,0
53.188,0,1,0
53.441,0,0,0
53.457,99,0,0
53.505,99,0,0
53.525,99,0,0
53.573,99,0,0
53.819,99,0,0
53.85,99,0,0
53.873,99,0,0
53.91,99,0,0
53.932,99,0,0
54.189,99,0,0
54.214,99,0,0
54.247,99,0,0
54.273,99,0,0
54.311,99,0,0
54.556,99,0,0
54.578,99,0,0
54.599,99,0,0
54.647,99,0,0
54.673,99,0,0
54.923,99,0,0
54.943,99,0,0
54.984,99,0,0
55.013,99,0,0
55.048,99,0,0
55.318,99,0,0
55.338,99,0,0
55.359,99,0,0
55.383,99,0,0
55.411,99,0,0
55.699,99,0,0
55.762,-1,0,0
55.811,-1,0,0
55.869,-1,0,0
57.279,99,0,0
57.504,0,0,0
57.52,99,0,0
57.584,99,0,0
57.6,99,0,0
57.648,99,0,0
57.869,99,0,0
57.884,99,0,0
57.921,99,0,0
57.98,99,0,0
58.001,99,0,0
58.26,99,0,0
58.279,99,0,0
58.296,99,0,0
58.319,99,0,0
58.382,99,0,0
58.607,99,0,0
58.621,99,0,0
58.657,99,0,0
58.674,99,0,0
58.717,99,0,0
58.992,99,0,0
59.009,99,0,0
59.026,99,0,0
59.05,99,0,0
59.069,99,0,0
59.319,99,0,0
59.339,99,0,0
59.392,99,0,0
59.404,99,0,0
59.462,99,0,0
59.717,99,0,0
59.737,99,0,0
59.755,99,0,0
59.792,99,0,0
59.808,99,0,0
60.082,99,0,0
60.108,99,0,0
60.129,99,0,0
60.15,99,0,0
60.233,0,0,0
60.491,0,0,0
60.534,0,0,0
60.579,0,0,0
60.623,0,1,0
60.703,0,0,0
60.918,0,0,0
62.263,99,0,0
62.284,99,0,0
62.306,99,0,0
62.315,99,0,0
62.502,99,0,0
62.526,99,0,0
62.539,99,0,0
62.552,99,0,0
62.589,99,0,0
62.779,99,0,0
62.794,99,0,0
62.813,99,0,0
62.826,99,0,0
62.863,99,0,0
63.071,99,0,0
63.086,99,0,0
63.103,99,0,0
63.123,99,0,0
63.141,99,0,0
63.363,99,0,0
63.381,99,0,0
63.397,99,0,0
63.457,99,0,0
63.471,99,0,0
63.728,99,0,0
63.743,99,0,0
63.793,99,0,0
63.859,99,0,0
63.876,99,0,0
64.088,99,0,0
64.105,99,0,0
64.124,99,0,0
64.143,99,0,0
64.161,99,0,0
64.377,99,0,0
64.393,99,0,0
64.409,99,0,0
64.463,99,0,0
64.481,99,0,0
64.724,99,0,0
64.739,99,0,0
64.799,99,0,0
64.815,99,0,0
64.863,99,0,0
65.067,99,0,0
65.077,99,0,0
65.097,99,0,0
65.112,99,0,0
65.135,99,0,0
65.349,99,0,0
65.367,99,0,0
65.385,99,0,0
65.4,99,0,0
65.416,99,0,0
65.696,99,0,0
65.71,99,0,0
65.724,99,0,0
65.74,99,0,0
65.753,99,0,0
65.991,99,0,0
67.355,99,0,0
67.367,99,0,0
67.401,99,0,0
67.423,99,0,0
67.669,99,0,0
67.683,99,0,0
67.806,99,0,0
67.82,99,0,0
67.831,99,0,0
68.008,99,0,0
68.021,99,0,0
68.036,99,0,0
68.048,99,0,0
68.078,99,0,0
68.277,99,0,0
68.294,99,0,0
68.311,99,0,0
68.33,99,0,0
68.344,99,0,0
68.555,99,0,0
69.587,99,0,0
69.604,99,0,0
