timestamp,head_direction,blink_flag
11.803,0,0
11.838,0,0
11.875,0,0
11.897,0,1
11.934,0,0
11.957,0,0
12.041,0,0
12.143,0,0
12.165,0,0
12.185,0,0
12.23,0,1
12.256,0,0
12.294,0,0
12.329,0,0
12.361,0,0
12.421,0,0
12.438,0,1
12.459,0,0
12.501,0,0
12.534,0,0
12.569,0,0
12.583,0,0
12.633,0,1
12.668,0,0
12.695,0,0
12.71,0,0
12.758,0,0
12.843,0,0
12.889,0,1
12.906,0,0
12.933,0,0
12.949,0,0
12.965,0,0
12.981,0,0
13.033,0,1
13.048,0,0
13.1,0,0
13.133,0,0
13.158,0,0
13.23,0,0
13.269,0,1
13.29,0,0
13.318,0,0
13.357,0,0
13.381,0,0
13.398,0,0
13.43,0,1
13.447,0,0
13.499,0,0
13.527,0,0
13.56,0,0
13.578,0,0
13.653,0,1
13.676,0,0
13.703,0,0
13.756,0,0
13.786,0,0
13.821,0,0
13.85,0,1
13.886,0,0
13.92,0,0
13.954,0,0
13.99,0,0
14.02,0,0
14.047,0,1
14.076,0,0
14.106,0,0
14.134,0,0
14.166,0,0
14.21,0,0
14.266,0,1
14.294,0,0
14.317,0,0
14.359,0,0
14.394,0,0
14.434,0,0
14.478,0,1
14.511,0,0
14.539,0,0
14.583,0,0
14.615,0,0
14.65,0,0
14.685,0,1
14.71,0,0
14.75,0,0
14.784,0,0
14.886,0,0
14.918,0,0
14.957,0,1
14.975,0,0
14.998,0,0
15.03,0,0
15.054,0,0
15.102,0,0
15.137,0,1
15.179,0,0
15.224,0,0
15.257,0,0
15.28,0,0
15.305,0,0
15.318,0,1
15.379,0,0
15.4,0,0
15.43,0,0
15.446,0,0
15.512,0,0
15.565,0,1
15.621,0,0
15.666,0,0
15.693,0,0
15.718,0,0
15.739,0,0
15.763,0,1
15.787,0,0
15.802,0,0
15.83,0,0
15.846,0,0
15.916,0,0
15.963,0,1
16.006,0,0
16.036,0,0
16.057,0,0
16.081,0,0
16.113,0,0
16.138,0,1
16.169,0,0
16.204,0,0
16.234,0,0
16.258,0,0
16.326,0,0
16.351,0,1
16.391,0,0
16.413,0,0
16.446,0,0
16.475,0,0
16.509,0,0
16.537,0,1
16.576,0,0
16.604,0,0
16.649,0,0
16.682,0,0
16.717,0,0
16.733,0,1
16.776,0,0
16.79,0,0
16.842,0,0
16.857,0,0
16.908,0,0
16.932,0,1
16.967,0,0
16.983,0,0
17.061,0,0
17.094,0,0
17.119,0,0
17.154,0,1
17.19,0,0
17.225,0,0
17.264,0,0
17.295,0,0
17.307,0,0
17.352,0,1
17.391,0,0
17.415,0,0
17.448,0,0
17.463,0,0
17.511,0,0
17.559,0,1
17.589,0,0
17.623,0,0
17.641,0,0
17.661,0,0
17.714,0,0
17.747,0,1
17.797,0,0
17.817,0,0
17.85,0,0
17.863,0,0
17.912,0,0
17.928,0,1
17.982,0,0
18.023,0,0
18.054,0,0
18.095,0,0
18.108,0,0
18.135,0,1
18.201,0,0
18.233,0,0
18.255,0,0
18.293,0,0
18.362,0,0
18.387,0,1
18.428,0,0
18.458,0,0
18.496,0,0
18.536,0,0
18.569,0,0
18.603,0,1
18.631,0,0
18.663,0,0
18.704,0,0
18.743,0,0
18.779,0,0
18.804,0,1
18.846,0,0
18.876,0,0
18.917,0,0
18.951,0,0
18.99,0,0
19.017,0,0
19.048,0,0
19.063,0,0
19.084,0,0
19.111,0,0
19.129,0,0
19.149,0,0
19.175,0,0
19.211,0,0
19.255,0,0
19.28,0,0
19.335,-1,1
19.366,-1,0
19.399,-1,0
19.434,-1,0
19.467,-1,0
19.502,-1,0
19.527,-1,1
19.568,-1,0
19.593,-1,0
19.635,-1,0
19.705,-1,0
19.736,-1,0
19.768,-1,1
19.785,-1,0
19.817,-1,0
19.851,-1,0
19.88,-1,0
19.911,-1,0
19.952,-1,0
19.975,-1,0
19.991,-1,0
20.009,-1,0
20.055,-1,0
20.095,-1,1
20.121,-1,0
20.139,-1,0
20.191,-1,0
20.218,-1,0
20.247,-1,0
20.263,-1,1
20.312,-1,0
20.329,-1,0
20.383,-1,0
20.416,-1,0
20.466,-1,0
20.503,-1,1
20.526,-1,0
20.57,-1,0
20.599,-1,0
20.634,-1,0
20.663,-1,0
20.702,-1,1
20.728,-1,0
20.744,-1,0
20.797,-1,0
20.824,-1,0
20.864,-1,0
20.899,-1,1
20.92,-1,0
20.965,-1,0
20.986,-1,0
21.021,-1,0
21.096,-1,0
21.12,-1,1
21.152,-1,0
21.172,-1,0
21.205,-1,0
21.239,-1,0
21.256,-1,0
21.272,-1,1
21.322,-1,0
21.354,-1,0
21.399,-1,0
21.424,-1,0
21.455,-1,0
21.486,-1,1
21.519,-1,0
21.544,-1,0
21.597,-1,0
21.627,-1,0
21.661,-1,0
21.669,99,0
21.725,-1,0
21.752,-1,0
21.792,-1,1
21.82,-1,0
21.853,-1,0
21.889,-1,0
21.912,-1,0
21.944,-1,0
22.009,-1,1
22.045,-1,0
22.073,-1,0
22.096,-1,0
22.125,-1,0
22.154,-1,0
22.198,-1,0
22.224,-1,1
22.281,-1,0
22.318,-1,0
22.335,-1,0
22.377,-1,0
22.397,-1,0
22.442,-1,1
22.461,0,0
22.501,0,0
22.536,0,0
22.552,0,0
22.593,0,0
22.602,0,1
22.65,0,0
22.674,0,0
22.707,0,0
22.744,0,0
22.808,0,0
22.84,0,0
22.877,0,1
22.907,0,0
22.939,0,0
22.976,0,0
23.004,0,0
23.048,0,0
23.074,0,1
23.108,0,0
23.142,0,0
23.177,0,0
23.208,0,0
23.242,0,0
23.277,0,1
23.309,0,0
23.337,0,0
